Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.31,-.20,-.12,-.21,-.13,-.25,-.22,-.11,-.17,-.25,-.21,-.24,-.20,***,***,-.15,-.19,-.21
1881,-.17,-.19,.02,.03,.01,-.21,-.08,-.03,-.15,-.22,-.23,-.12,-.11,-.12,-.20,.02,-.11,-.20
1882,.13,.13,.03,-.20,-.17,-.27,-.22,-.07,-.11,-.26,-.17,-.26,-.12,-.11,.05,-.11,-.18,-.18
1883,-.33,-.40,-.14,-.18,-.21,-.14,-.09,-.16,-.22,-.16,-.24,-.17,-.20,-.21,-.33,-.18,-.13,-.20
1884,-.17,-.10,-.38,-.44,-.38,-.42,-.36,-.27,-.28,-.25,-.31,-.29,-.30,-.29,-.14,-.40,-.35,-.28
1885,-.60,-.31,-.26,-.43,-.43,-.45,-.36,-.32,-.24,-.21,-.21,-.06,-.32,-.34,-.40,-.37,-.38,-.22
1886,-.43,-.46,-.39,-.29,-.27,-.40,-.23,-.35,-.27,-.30,-.32,-.27,-.33,-.31,-.32,-.32,-.32,-.30
1887,-.74,-.54,-.35,-.40,-.33,-.25,-.24,-.33,-.24,-.34,-.25,-.35,-.36,-.36,-.52,-.36,-.27,-.27
1888,-.38,-.37,-.42,-.23,-.23,-.20,-.11,-.17,-.11,.00,.00,-.08,-.19,-.21,-.37,-.29,-.16,-.04
1889,-.12,.17,.07,.06,-.04,-.15,-.11,-.21,-.23,-.24,-.34,-.31,-.12,-.10,-.01,.03,-.16,-.27
1890,-.46,-.47,-.42,-.38,-.47,-.28,-.28,-.40,-.41,-.26,-.49,-.33,-.39,-.39,-.41,-.42,-.32,-.39
1891,-.43,-.51,-.21,-.30,-.20,-.22,-.22,-.18,-.16,-.24,-.37,-.07,-.26,-.28,-.42,-.24,-.21,-.26
1892,-.30,-.13,-.37,-.36,-.26,-.25,-.34,-.27,-.14,-.14,-.43,-.40,-.28,-.26,-.17,-.33,-.29,-.24
1893,-.81,-.56,-.25,-.31,-.37,-.30,-.18,-.28,-.22,-.19,-.19,-.37,-.34,-.34,-.59,-.31,-.25,-.20
1894,-.55,-.35,-.26,-.50,-.37,-.45,-.27,-.24,-.27,-.23,-.27,-.21,-.33,-.34,-.42,-.38,-.32,-.25
1895,-.46,-.44,-.30,-.26,-.28,-.25,-.19,-.17,-.10,-.10,-.16,-.17,-.24,-.24,-.37,-.28,-.20,-.12
1896,-.27,-.16,-.27,-.32,-.20,-.16,-.05,-.06,-.05,.10,-.09,-.05,-.13,-.14,-.20,-.26,-.09,-.01
1897,-.16,-.16,-.15,-.04,-.06,-.18,-.08,-.12,-.09,-.14,-.20,-.21,-.13,-.12,-.13,-.08,-.13,-.15
1898,-.04,-.30,-.52,-.34,-.33,-.22,-.25,-.27,-.23,-.35,-.40,-.27,-.29,-.29,-.18,-.40,-.25,-.33
1899,-.21,-.42,-.35,-.22,-.25,-.35,-.19,-.08,-.04,-.07,.10,-.30,-.20,-.20,-.30,-.28,-.21,.00
1900,-.39,-.04,.00,-.14,-.12,-.14,-.14,-.12,-.06,.07,-.11,-.08,-.11,-.12,-.24,-.08,-.13,-.03
1901,-.25,-.06,.07,-.05,-.18,-.14,-.17,-.22,-.23,-.33,-.18,-.29,-.17,-.15,-.13,-.05,-.18,-.25
1902,-.21,-.05,-.30,-.32,-.37,-.37,-.31,-.35,-.30,-.33,-.41,-.48,-.32,-.30,-.19,-.33,-.34,-.35
1903,-.27,-.06,-.24,-.44,-.46,-.48,-.39,-.50,-.51,-.51,-.46,-.54,-.41,-.40,-.27,-.38,-.46,-.49
1904,-.69,-.60,-.52,-.56,-.57,-.52,-.56,-.52,-.55,-.42,-.23,-.36,-.51,-.52,-.61,-.55,-.53,-.40
1905,-.41,-.61,-.24,-.37,-.35,-.32,-.31,-.23,-.20,-.27,-.11,-.20,-.30,-.32,-.46,-.32,-.29,-.20
1906,-.29,-.32,-.18,-.06,-.26,-.22,-.27,-.21,-.28,-.21,-.40,-.18,-.24,-.24,-.27,-.16,-.23,-.30
1907,-.43,-.53,-.28,-.40,-.48,-.45,-.38,-.37,-.35,-.26,-.50,-.50,-.41,-.38,-.38,-.39,-.40,-.37
1908,-.45,-.32,-.55,-.47,-.43,-.43,-.41,-.48,-.38,-.47,-.52,-.51,-.45,-.45,-.42,-.48,-.44,-.45
1909,-.70,-.49,-.53,-.62,-.58,-.54,-.47,-.33,-.37,-.39,-.33,-.57,-.49,-.49,-.57,-.57,-.45,-.36
1910,-.46,-.46,-.52,-.42,-.37,-.39,-.36,-.38,-.38,-.40,-.55,-.68,-.45,-.44,-.49,-.44,-.38,-.44
